0,1,2
KAYSE,KAYSERİ ŞEKER FABRİKASI A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KNTFA,KENT FİNANS FAKTORİNG A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
KENT,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KERVT,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KRVGD,KERVAN GIDA SANAYİ VE TİCARET A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KERVN,KERVANSARAY YATIRIM HOLDİNG A.Ş.,MEGA GLOBAL ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
KZBGY,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ARSEN BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KLGYO,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
KLRHO,KİLER HOLDİNG A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
KMPUR,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KLMSN,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KCAER,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KFKTF,KOÇ FIAT KREDİ FİNANSMAN A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOCFN,KOÇ FİNANSMAN A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KCHOL,KOÇ HOLDİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
KLSYN,KOLEKSİYON MOBİLYA SANAYİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
KNFRT,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.,RASYONEL BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KONTR,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KONYA,KONYA ÇİMENTO SANAYİİ A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KONKA,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.,İRFAN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KGYO,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
KORDS,KORDSA TEKNİK TEKSTİL A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KRPLS,KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KORTS,KORTEKS MENSUCAT SANAYİ VE TİCARET A.Ş.,ARILAR BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KOZAL,KOZA ALTIN İŞLETMELERİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOZAA,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KOPOL,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
KRGYO,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KRSTL,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,YORUM YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
KRONT,KRON TEKNOLOJİ A.Ş.,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KTKVK,KT KİRA SERTİFİKALARI VARLIK KİRALAMA A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
KSTUR,KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
KUVVA,KUVVA GIDA TİCARET VE SANAYİ YATIRIMLARI A.Ş.,ELİT BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
KUYAS,KUYAŞ YATIRIM A.Ş.,AKADEMİK BAĞIMSIZ DENETİM A.Ş.
KZGYO,KUZUGRUP GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
KUTPO,KÜTAHYA PORSELEN SANAYİ A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
KTSKR,KÜTAHYA ŞEKER FABRİKASI A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
LIDER,LDR TURİZM A.Ş.,EDİT BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
LIDFA,LİDER FAKTORİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
LINK,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
LOGO,LOGO YAZILIM SANAYİ VE TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
LKMNH,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
LUKSK,LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MACKO,MACKOLİK İNTERNET HİZMETLERİ TİCARET A.Ş.,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MAKIM,MAKİM MAKİNA TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.,VEZİN BAĞIMSIZ DENETİM A.Ş.
MAKTK,MAKİNA TAKIM ENDÜSTRİSİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
MANAS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş.,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
"MRBAS, MRS",MARBAŞ MENKUL DEĞERLER A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
MAGEN,MARGÜN ENERJİ ÜRETİM SANAYİ VE TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MRMAG,MARKA MAĞAZACILIK A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MARKA,MARKA YATIRIM HOLDİNG A.Ş.,RASYONEL BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MAALT,MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
MRSHL,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MRGYO,MARTI GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
MARTI,MARTI OTEL İŞLETMELERİ A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
MTRKS,MATRİKS BİLGİ DAĞITIM HİZMETLERİ A.Ş.,ANIL YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
MAVI,MAVİ GİYİM SANAYİ VE TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MZHLD,MAZHAR ZORLU HOLDİNG A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
MEDTR,MEDİTERA TIBBİ MALZEME SANAYİ VE TİCARET A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
MEGAP,MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
"MEKMD, MSA",MEKSA YATIRIM MENKUL DEĞERLER A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MNDRS,MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
MEPET,MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MERCN,MERCAN KİMYA SANAYİ VE TİCARET A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
MRBKF,MERCEDES BENZ KAMYON FİNANSMAN A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MBFTR,MERCEDES-BENZ FİNANSMAN TÜRK A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MERIT,MERİT TURİZM YATIRIM VE İŞLETME A.Ş.,ATA ULUSLARARASI BAĞIMSIZ DENETİM VE SMMM A.Ş.
MERKO,MERKO GIDA SANAYİ VE TİCARET A.Ş.,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
METUR,METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.,VENTERA BAĞIMSIZ DENETİM A.Ş.
METRO,METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MTRYO,METRO YATIRIM ORTAKLIĞI A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MIATK,MİA TEKNOLOJİ A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
MGROS,MİGROS TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
MIPAZ,MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
MSGYO,MİSTRAL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,SUN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MPARK,MLP SAĞLIK HİZMETLERİ A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
MMCAS,MMC SANAYİ VE TİCARİ YATIRIMLAR A.Ş.,ARILAR BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MOBTL,MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
MNDTR,MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ A.Ş.,REANDA AREN BAĞIMSIZ DENETİM VE SMMM A.Ş.
EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,LİSANS BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
NATEN,NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
NTGAZ,NATURELGAZ SANAYİ VE TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
NTHOL,NET HOLDİNG A.Ş.,ATA ULUSLARARASI BAĞIMSIZ DENETİM VE SMMM A.Ş.
NETAS,NETAŞ TELEKOMÜNİKASYON A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
NIBAS,NİĞBAŞ NİĞDE BETON SANAYİ VE TİCARET A.Ş.,BİRLEŞİK EKOL BAĞIMSIZ DENETİM A.Ş.
NUHCM,NUH ÇİMENTO SANAYİ A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
NUGYO,NUROL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
NRHOL,NUROL HOLDİNG A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
NRLIN,NUROL İNŞAAT VE TİCARET A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
NURVK,NUROL VARLIK KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
"NRBNK, NYB",NUROL YATIRIM BANKASI  A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
OBASE,OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
ODAS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.,AS BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
"ODB, ODEA",ODEA BANK A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
OFSYM,OFİS YEM GIDA SANAYİ TİCARET A.Ş.,A-1 YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
ONCSM,ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
OPET,OPET PETROLCÜLÜK A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ORCAY,ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
ORFIN,ORFİN FİNANSMAN A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ORGE,ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
ORMA,ORMA ORMAN MAHSULLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
"OMD, OSMEN",OSMANLI YATIRIM MENKUL DEĞERLER A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
OSTIM,OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
OTKAR,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
OTOKC,OTOKOÇ OTOMOTİV TİCARET VE SANAYİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
OTTO,OTTO HOLDİNG A.Ş.,SER-BERKER BAĞIMSIZ DENETİM A.Ş.
OYAKC,OYAK ÇİMENTO FABRİKALARI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"OYA, OYYAT",OYAK YATIRIM MENKUL DEĞERLER A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
OYAYO,OYAK YATIRIM ORTAKLIĞI A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
OYLUM,OYLUM SINAİ YATIRIMLAR A.Ş.,REHBER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
OZKGY,ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
OZGYO,ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,REPORT BAĞIMSIZ DENETİM A.Ş.
OZRDN,ÖZERDEN AMBALAJ SANAYİ A.Ş.,AKADEMİK BAĞIMSIZ DENETİM A.Ş.
OZSUB,ÖZSU BALIK ÜRETİM A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
PALEN,PALEN ENERJİ DOĞALGAZ DAĞITIM ENDÜSTRİ VE TİCARET A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PAMEL,PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
PNLSN,PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
PAGYO,PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
PAPIL,PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
PRDGS,PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
PRKME,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
PARSN,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
"PBT, PBTR",PASHA YATIRIM BANKASI A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PASEU,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
PSGYO,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
PCILT,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
PGSUS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PEKGY,PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PENGD,PENGUEN GIDA SANAYİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
PENTA,PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
PEGYO,PERA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,C&Ç BAĞIMSIZ DENETİM VE YÖNETİM DANIŞMANLIĞI A.Ş.
PSDTC,PERGAMON STATUS DIŞ TİCARET A.Ş.,ANIL YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
PETKM,PETKİM PETROKİMYA HOLDİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
PKENT,PETROKENT TURİZM A.Ş.,C&Ç BAĞIMSIZ DENETİM VE YÖNETİM DANIŞMANLIĞI A.Ş.
"PHC, PHLLP",PHİLLİPCAPİTAL MENKUL DEĞERLER A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
PETUN,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PINSU,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PNSUT,PINAR SÜT MAMULLERİ SANAYİİ A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PKART,PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BDO DENET BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
PLTUR,PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
POLHO,POLİSAN HOLDİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
POLTK,POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.,DENGE BAĞIMSIZ DENETİM SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
PRZMA,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.,GRC BAĞIMSIZ DENETİM A.Ş.
QYHOL,Q YATIRIM HOLDİNG A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
QNBFF,QNB FİNANS FAKTORİNG A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
QNBFL,QNB FİNANS FİNANSAL KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
QNBVK,QNB FİNANS VARLIK KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
"FNY, QNBFI",QNB FİNANS YATIRIM MENKUL DEĞERLER A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
"FIN, QNBFB",QNB FİNANSBANK A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
QUAGR,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,NEVADOS BAĞIMSIZ DENETİM A.Ş.
RNPOL,RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.,NOTE OFFİCE ULUSLARARASI BAĞIMSIZ DENETİM DANIŞMANLIK VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
RALYH,RAL YATIRIM HOLDİNG A.Ş.,AKADEMİK BAĞIMSIZ DENETİM A.Ş.
RAYSG,RAY SİGORTA A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
RYGYO,REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
RYSAS,REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.,ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
RODRG,RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.,BAKIŞ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
ROYAL,ROYAL HALI İPLİK TEKSTİL MOBİLYA SANAYİ VE TİCARET A.Ş.,İRFAN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
RTALB,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
RUBNS,RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.,FİNANSAL EKSEN BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
SAFKR,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.,ÇÖZÜM ÜNLÜER BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
SANEL,SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
